comentario,comentario_procesado,intencion,confianza_intencion,departamento,metodo_departamento
"No parece haber un interés en las encuestas, se sabe de profesores que no enseñan bien o que de plano no enseñan y pese a las múltiples encuestas, la escuela sigue asignándoles muchos grupos. ",no parece haber un interés en las encuestas se sabe de profesores que no enseñan bien o que de plano no enseñan y pese a las múltiples encuestas la escuela sigue asignándoles muchos grupos,queja,0.6000827510265102,Evaluación y Seguimiento Académico,setfit
"Fue muy rápido el proceso y fue amable la persona que me atendió, incluso me ayudó ya que no tenía tanto tiempo para entregar el FUA",fue muy rápido el proceso y fue amable la persona que me atendió incluso me ayudó ya que no tenía tanto tiempo para entregar el fua,queja,0.4920129162955762,Extensión y Apoyos Educativos,setfit
El que me atendió en gestión escolar se portó de manera grosera e incompetente tomando como prioridad su superioridad,el que me atendió en gestión escolar se portó de manera grosera e incompetente tomando como prioridad su superioridad,queja,0.48630498543601713,Evaluación y Seguimiento Académico,setfit
deben de haber más grupos y opciones para ia y lcd,deben de haber más grupos y opciones para ia y lcd,queja,0.4859858506965633,Innovación Educativa,setfit
"Me gustaría sugerir que ya que el Poli tiene contratado un buen internet, pero le cuesta servirlo a la comunidad de manea eficiente. He observado que una de las maneras más prácticas es distribuirlo de manera más uniforme, es decir, tener más módems a los que conectarnos, esto evita la saturación y mejora la calidad en horas pico. Lo ideal sería uno por salón con WiFi 6, pero ya dependería del presupuesto. Realmente el problema es que no de puede usar cuando se necesita, cuando hay muchos conectados y no se puede gestionar tantas peticiones a la vez, e incluso la cobertura falla en algunos salones de IA del 1er piso. Siento que si no se puede cambiar el sistema a uno como la UNAM por lo menos se puede resolver así.",me gustaría sugerir que ya que el poli tiene contratado un buen internet pero le cuesta servirlo a la comunidad de manea eficiente he observado que una de las maneras más prácticas es distribuirlo de manera más uniforme es decir tener más módems a los que conectarnos esto evita la saturación y mejora la calidad en horas pico lo ideal sería uno por salón con wifi 6 pero ya dependería del presupuesto realmente el problema es que no de puede usar cuando se necesita cuando hay muchos conectados y no se puede gestionar tantas peticiones a la vez e incluso la cobertura falla en algunos salones de ia del 1er piso siento que si no se puede cambiar el sistema a uno como la unam por lo menos se puede resolver así,sugerencia,0.4968790335565183,Unidad de Informática,keywords
"Buen servicio, muy amables.",buen servicio muy amables,felicitación,0.7154040056810704,Recursos Financieros,setfit
Buen servicio sin problemas,buen servicio sin problemas,felicitación,0.6522395507103349,Recursos Financieros,setfit
"Buena actitud, equipo funcional y rápido ",buena actitud equipo funcional y rápido,felicitación,0.7213020278970348,Formación Básica,setfit
Utilizar la plataforma de Microsoft 365 en lugar de Google.,utilizar la plataforma de microsoft 365 en lugar de google,sugerencia,0.5004962602745283,Unidad de Informática,keywords
"Al ingresar al SISMI para obtener mis pólizas y mi carta renuncia, al poner buscar, me aparece que no se encuentran resultados, llevo mas de 2 semanas asi ",al ingresar al sismi para obtener mis pólizas y mi carta renuncia al poner buscar me aparece que no se encuentran resultados llevo mas de 2 semanas asi,queja,0.5787637501843101,Gestión Escolar,setfit
"Por medio de la presente quiero manifestar mi inconformidad respecto al servicio de casilleros que se ofrece en la escuela. Recientemente se aumentó el costo en 50 pesos de manera repentina y sin justificación alguna, lo cual resulta injusto para los estudiantes, ya que no se brindó explicación clara ni se notificó con anticipación.

Además del incremento de precio, el servicio de entrega de casilleros es deficiente. El proceso resulta desorganizado, lento y poco eficiente, generando molestias innecesarias para quienes cumplimos puntualmente con el pago.

Considero que como alumnos merecemos un trato justo y transparente. Lo mínimo que se debería garantizar es una explicación clara sobre los aumentos en el costo y una mejora real en la atención y organización al momento de asignar y entregar los casilleros.

Solicito atentamente que se revise esta situación, se brinde una respuesta sobre el aumento aplicado y se tomen las medidas necesarias para mejorar el servicio.

Atentamente,
Anónimo ",por medio de la presente quiero manifestar mi inconformidad respecto al servicio de casilleros que se ofrece en la escuela recientemente se aumentó el costo en 50 pesos de manera repentina y sin justificación alguna lo cual resulta injusto para los estudiantes ya que no se brindó explicación clara ni se notificó con anticipación además del incremento de precio el servicio de entrega de casilleros es deficiente el proceso resulta desorganizado lento y poco eficiente generando molestias innecesarias para quienes cumplimos puntualmente con el pago considero que como alumnos merecemos un trato justo y transparente lo mínimo que se debería garantizar es una explicación clara sobre los aumentos en el costo y una mejora real en la atención y organización al momento de asignar y entregar los casilleros solicito atentamente que se revise esta situación se brinde una respuesta sobre el aumento aplicado y se tomen las medidas necesarias para mejorar el servicio atentamente anónimo,queja,0.6389018839361597,Servicios Estudiantiles,setfit
"El acceso fue increíblemente tardado, su plataforma no registra. La salida fue aún peor: no había nadie (esencialmente tenían mi credencial sin manera de que la recuperara). Cuando volví, otra vez fue lentísimo el proceso y me obligaron a llenar esta encuesta que no debería ser obligatoria",el acceso fue increíblemente tardado su plataforma no registra la salida fue aún peor no había nadie esencialmente tenían mi credencial sin manera de que la recuperara cuando volví otra vez fue lentísimo el proceso y me obligaron a llenar esta encuesta que no debería ser obligatoria,queja,0.6667646267238612,Unidad de Informática,keywords
"Muy buen servicio, son comprometidos a cuidar el aula de uso libre y hay una muy buena administración por parte de los encargados ",muy buen servicio son comprometidos a cuidar el aula de uso libre y hay una muy buena administración por parte de los encargados,felicitación,0.6809692250022888,Gestión Escolar,setfit
"Solo que hacen falta algunas herramientas de programación, como compiladores apropiados",solo que hacen falta algunas herramientas de programación como compiladores apropiados,felicitación,0.44363145483608524,Unidad de Informática,setfit
"Mesa de la computadora 1 y 2, está muy floja, se puede caer...",mesa de la computadora 1 y 2 está muy floja se puede caer,sugerencia,0.4935504506091666,Unidad de Informática,keywords
Muy buen servicio por parte de los chicos de servicio social,muy buen servicio por parte de los chicos de servicio social,felicitación,0.5725797966308152,Gestión Escolar,keywords
Un poco lento el login ,un poco lento el login,felicitación,0.6343060865351137,Tecnología Educativa y Campus Virtual,setfit
La máquina funcionó bien ,la máquina funcionó bien,felicitación,0.6496622792959014,Unidad de Informática,setfit
La máquina funciona bien ,la máquina funciona bien,felicitación,0.5934614526011848,Unidad de Informática,setfit
muy buena atención ,muy buena atención,felicitación,0.7155035840829116,Gestión Escolar,setfit
"muy buen servicio, el espacio estuvo limpio y todas las computadoras funcionaban bien",muy buen servicio el espacio estuvo limpio y todas las computadoras funcionaban bien,felicitación,0.774023853435811,Unidad de Informática,setfit
"Todo bien, están bien cuidadas las instalaciones ",todo bien están bien cuidadas las instalaciones,felicitación,0.6085124112403809,Subdirección Administrativa,keywords
Buen servicio y atención ,buen servicio y atención,felicitación,0.7005607064072806,Evaluación y Seguimiento Académico,setfit
Me atendieron muy rápido ,me atendieron muy rápido,felicitación,0.6929940569780458,Innovación Educativa,setfit
"Buena velocidad, un poco lento el internet ",buena velocidad un poco lento el internet,felicitación,0.6609212556443562,Unidad de Informática,keywords
Me atendieron bien ,me atendieron bien,felicitación,0.6753027135923624,Innovación Educativa,setfit
las computadoras del LCD01 se reinician con pantalla azul frecuentemente,las computadoras del lcd01 se reinician con pantalla azul frecuentemente,queja,0.6036365031352208,Unidad de Informática,setfit
Las máquinas no cuentan con Linux y se va a cada rato el internet ,las máquinas no cuentan con linux y se va a cada rato el internet,queja,0.5639527088406285,Unidad de Informática,keywords
Excelente servicio si no cuentas con una PC,excelente servicio si no cuentas con una pc,sugerencia,0.4316954889479095,Unidad de Informática,setfit
Muy buena atención y resuelve todas tus dudas amablemente. ,muy buena atención y resuelve todas tus dudas amablemente,felicitación,0.7159681296459401,Dirección,setfit
El profesor es realmente amable y busco apoyarme en todo aspecto,el profesor es realmente amable y busco apoyarme en todo aspecto,felicitación,0.5008262894554263,Subdirección Académica,keywords
"Muy rápido el proceso, y fácil",muy rápido el proceso y fácil,felicitación,0.5808161679740279,Innovación Educativa,setfit
